Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Departure delay (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"B6","08/27/2024","0770","N561JB","ALB","14:00","14:03","3","0","0","0","0","0"
"B6","08/27/2024","0798","N509JB","LGA","17:40","17:46","6","0","0","0","0","0"
"B6","08/27/2024","0884","N637JB","JFK","06:00","06:41","41","37","0","0","0","0"
"B6","08/27/2024","1033","N708JB","SJU","07:00","06:46","-14","0","0","0","0","0"
"B6","08/27/2024","1076","N547JB","PVD","11:30","12:06","36","25","0","0","0","0"
"B6","08/27/2024","1084","N641JB","JFK","16:00","16:31","31","0","0","0","0","0"
"B6","08/27/2024","1098","N3149J","LGA","13:00","12:58","-2","0","0","0","0","0"
"B6","08/27/2024","1133","N624JB","SJU","10:45","10:34","-11","0","0","0","0","0"
"B6","08/27/2024","1152","N603JB","BOS","19:30","20:10","40","40","0","0","0","0"
"B6","08/27/2024","1184","N971JT","JFK","07:10","07:04","-6","0","0","0","0","0"
"B6","08/27/2024","1233","N636JB","SJU","05:01","04:56","-5","0","0","0","0","0"
"B6","08/27/2024","1284","N527JL","JFK","18:00","17:56","-4","0","0","0","0","0"
"B6","08/27/2024","1294","N665JB","HPN","20:10","21:47","97","88","0","0","0","2"
"B6","08/27/2024","1494","N624JB","HPN","18:59","19:02","3","0","0","0","0","0"
"B6","08/27/2024","1584","N804JB","JFK","09:20","10:20","60","45","0","0","0","0"
"B6","08/27/2024","1586","N821JB","BUF","19:35","19:33","-2","0","0","0","0","0"
"B6","08/27/2024","1652","N613JB","BOS","06:00","05:56","-4","0","0","0","0","0"
"B6","08/27/2024","1694","N583JB","HPN","16:59","16:57","-2","0","0","0","0","0"
"B6","08/27/2024","1728","N524JB","EWR","19:25","19:23","-2","0","0","0","0","0"
"B6","08/27/2024","1952","N613JB","BOS","20:45","20:45","0","0","0","0","0","0"
"B6","08/27/2024","2028","N506JB","EWR","07:00","06:59","-1","0","0","0","0","0"
"B6","08/27/2024","2052","N505JB","BOS","16:45","17:35","50","50","0","15","0","0"
"B6","08/27/2024","2128","N561JB","EWR","21:35","21:43","8","0","0","0","0","0"
"B6","08/27/2024","2133","N535JB","SJU","22:25","22:09","-16","0","0","0","0","0"
"B6","08/27/2024","2252","N527JL","BOS","09:39","09:36","-3","0","0","0","0","0"
"B6","08/27/2024","2324","N612JB","DCA","09:50","09:45","-5","0","0","0","0","0"
"B6","08/27/2024","2384","N2086J","JFK","10:15","10:25","10","0","0","0","0","0"
"B6","08/27/2024","2424","N652JB","DCA","15:40","16:02","22","17","0","0","0","0"
"B6","08/28/2024","0024","N624JB","DCA","18:30","18:30","0","0","0","0","0","0"
"B6","08/28/2024","0094","N621JB","HPN","10:30","10:20","-10","0","0","0","0","0"
"B6","08/28/2024","0119","N627JB","RIC","13:50","14:07","17","0","17","6","0","0"
"B6","08/28/2024","0128","N705JB","EWR","14:00","14:35","35","0","35","6","0","0"
"B6","08/28/2024","0131","N621JB","LAX","18:00","17:57","-3","0","0","0","0","0"
"B6","08/28/2024","0133","N766JB","SJU","13:00","13:22","22","0","0","0","0","0"
"B6","08/28/2024","0184","N2047J","JFK","13:45","14:14","29","0","29","4","0","0"
"B6","08/28/2024","0384","N913JB","JFK","19:00","19:18","18","0","0","0","0","0"
"B6","08/28/2024","0430","N537JT","BQN","16:50","16:43","-7","0","0","0","0","0"
"B6","08/28/2024","0438","N531JL","BDL","15:30","15:38","8","0","0","0","0","0"
"B6","08/28/2024","0446","N537JT","BDL","09:30","09:24","-6","0","0","0","0","0"
"B6","08/28/2024","0488","N571JB","ORH","09:25","09:18","-7","0","0","0","0","0"
"B6","08/28/2024","0500","N565JB","RDU","14:45","15:22","37","0","37","17","0","0"
"B6","08/28/2024","0552","N506JB","BOS","14:10","14:34","24","0","24","5","0","0"
"B6","08/28/2024","0598","N580JB","LGA","06:20","06:19","-1","0","0","0","0","0"
"B6","08/28/2024","0656","N524JB","SYR","18:15","18:06","-9","0","0","0","0","0"
"B6","08/28/2024","0698","N827JB","LGA","10:05","10:02","-3","0","0","0","0","0"
"B6","08/28/2024","0767","N625JB","PSE","18:00","17:58","-2","0","0","0","0","0"
"B6","08/28/2024","0770","N656JB","ALB","13:05","13:53","48","0","48","9","0","0"
"B6","08/28/2024","0784","N534JB","JFK","14:45","14:42","-3","0","0","0","0","0"
"B6","08/28/2024","0798","N508JL","LGA","17:40","17:45","5","5","0","15","0","0"
"B6","08/28/2024","0884","N3194J","JFK","06:00","05:55","-5","0","0","0","0","0"
"B6","08/28/2024","0998","N3157J","LGA","20:30","21:37","67","38","0","72","0","29"
"B6","08/28/2024","1033","N565JB","SJU","07:00","06:51","-9","0","0","0","0","0"
"B6","08/28/2024","1076","N612JB","PVD","11:30","11:27","-3","0","0","0","0","0"
"B6","08/28/2024","1084","N547JB","JFK","16:00","16:08","8","0","0","0","0","0"
"B6","08/28/2024","1098","N3157J","LGA","13:00","13:41","41","0","41","4","0","0"
"B6","08/28/2024","1133","N624JB","SJU","10:45","10:44","-1","0","0","0","0","0"
"B6","08/28/2024","1152","N793JB","BOS","19:30","20:09","39","13","0","0","0","20"
"B6","08/28/2024","1184","N997JL","JFK","07:10","07:05","-5","0","0","0","0","0"
"B6","08/28/2024","1233","N643JB","SJU","05:01","05:00","-1","0","0","19","0","0"
"B6","08/28/2024","1284","N659JB","JFK","18:00","18:06","6","0","0","0","0","0"
"B6","08/28/2024","1294","N565JB","HPN","20:10","21:01","51","19","0","0","0","27"
"B6","08/28/2024","1494","N612JB","HPN","18:59","19:01","2","0","0","0","0","0"
"B6","08/28/2024","1584","N821JB","JFK","09:20","09:20","0","0","0","0","0","0"
"B6","08/28/2024","1586","N627JB","BUF","19:35","19:45","10","0","0","0","0","0"
"B6","08/28/2024","1652","N623JB","BOS","06:00","05:55","-5","0","0","0","0","0"
"B6","08/28/2024","1694","N571JB","HPN","16:59","16:51","-8","0","0","0","0","0"
"B6","08/28/2024","1728","N521JB","EWR","19:25","19:37","12","0","0","0","0","0"
"B6","08/28/2024","1952","N804JB","BOS","20:45","20:40","-5","0","0","0","0","0"
