carrier_code,date_(mm_dd_yyyy),flight_number,tail_number,destination_airport,scheduled_departure_time,actual_departure_time,dep_delay_minutes,delay_carrier_minutes,delay_weather_minutes,delay_nas_minutes,delay_security_minutes,delay_late_aircraft_minutes,flight_date
B6,08/26/2024,2028,N505JB,EWR,2025-09-09 07:00:00,2025-09-09 06:55:00,-5,0,0,0,0,0,2024-08-26 00:00:00
B6,08/26/2024,2052,N523JB,BOS,2025-09-09 16:45:00,2025-09-09 17:23:00,38,0,0,47,0,0,2024-08-26 00:00:00
B6,08/26/2024,2128,N509JB,EWR,2025-09-09 21:35:00,2025-09-09 21:34:00,-1,0,0,0,0,0,2024-08-26 00:00:00
B6,08/26/2024,2133,N623JB,SJU,2025-09-09 22:25:00,2025-09-09 22:17:00,-8,0,0,0,0,0,2024-08-26 00:00:00
B6,08/26/2024,2252,N644JB,BOS,2025-09-09 09:39:00,2025-09-09 09:31:00,-8,0,0,0,0,0,2024-08-26 00:00:00
B6,08/26/2024,2324,N593JB,DCA,2025-09-09 09:50:00,2025-09-09 09:38:00,-12,0,0,0,0,0,2024-08-26 00:00:00
B6,08/26/2024,2384,N2044J,JFK,2025-09-09 10:15:00,2025-09-09 10:14:00,-1,0,0,0,0,0,2024-08-26 00:00:00
B6,08/26/2024,2424,N658JB,DCA,2025-09-09 15:40:00,2025-09-09 15:47:00,7,0,0,0,0,0,2024-08-26 00:00:00
B6,08/27/2024,24,N827JB,DCA,2025-09-09 18:30:00,2025-09-09 18:33:00,3,0,0,0,0,0,2024-08-27 00:00:00
B6,08/27/2024,94,N623JB,HPN,2025-09-09 10:30:00,2025-09-09 10:39:00,9,0,0,0,0,0,2024-08-27 00:00:00
B6,08/27/2024,119,N827JB,RIC,2025-09-09 12:05:00,2025-09-09 11:57:00,-8,0,0,0,0,0,2024-08-27 00:00:00
B6,08/27/2024,128,N523JB,EWR,2025-09-09 13:10:00,2025-09-09 13:20:00,10,0,0,7,7,3,2024-08-27 00:00:00
B6,08/27/2024,131,N712JB,LAX,2025-09-09 18:00:00,2025-09-09 18:07:00,7,0,0,0,0,0,2024-08-27 00:00:00
B6,08/27/2024,133,N665JB,SJU,2025-09-09 13:00:00,2025-09-09 14:12:00,72,55,0,0,0,4,2024-08-27 00:00:00
B6,08/27/2024,184,N999JQ,JFK,2025-09-09 13:45:00,2025-09-09 14:11:00,26,16,0,2,0,10,2024-08-27 00:00:00
B6,08/27/2024,384,N975JT,JFK,2025-09-09 19:00:00,2025-09-09 19:00:00,0,0,0,0,0,0,2024-08-27 00:00:00
B6,08/27/2024,430,N623JB,BQN,2025-09-09 16:50:00,2025-09-09 17:40:00,50,44,0,0,0,0,2024-08-27 00:00:00
